"","Compounds","Receptor_genes"
"1331","Norepinephrine","Galr2"
"1332","Norepinephrine","Npbwr1"
"1333","Norepinephrine","Ccr9"
"1334","Norepinephrine","Npy2r"
"1335","Norepinephrine","Ccr4"
"1336","Norepinephrine","Mc2r"
"1337","Norepinephrine","Cckbr"
"1338","Norepinephrine","Adora2a"
"1339","Norepinephrine","Oprl1"
"1340","Norepinephrine","Htr7"
"1341","Norepinephrine","Avpr2"
"1342","Norepinephrine","Npy5r"
"1343","Norepinephrine","Hrh3"
"1344","Norepinephrine","Ptger3"
"1345","Norepinephrine","Sstr2"
"1346","Norepinephrine","Lpar1"
"1347","Norepinephrine","Npsr1"
"1348","Norepinephrine","Htr4"
"1349","Norepinephrine","Npy1r"
"1350","Norepinephrine","Rxfp4"
"1351","Norepinephrine","Cnr1"
"1352","Norepinephrine","Htr1b"
"1353","Norepinephrine","Ntsr1"
"1354","Norepinephrine","Lpar3"
"1355","Norepinephrine","Ptgfr"
"1356","Norepinephrine","Hcrtr2"
"1357","Norepinephrine","Agtr2"
"1358","Norepinephrine","Hcrtr1"
"1359","Norepinephrine","Npy4r"
"1360","Norepinephrine","Cnr2"
"1361","Norepinephrine","Ednrb"
"1362","Norepinephrine","Hrh2"
"1363","Norepinephrine","Htr2a"
"1364","Norepinephrine","Grpr"
"1365","Norepinephrine","Drd3"
"1366","Norepinephrine","Qrfprl"
"1367","Norepinephrine","Qrfpr"
"1368","Norepinephrine","Lpar2"
"1369","Norepinephrine","Cxcr4"
"1370","Norepinephrine","Tbxa2r"
"1371","Norepinephrine","Oprm1"
"1372","Norepinephrine","Ltb4r2"
"1373","Norepinephrine","Ccr3"
"1374","Norepinephrine","Mc1r"
"1375","Sphingosine 1-phosphate","S1pr1"
"1376","Sphingosine 1-phosphate","S1pr2"
"1377","Sphingosine 1-phosphate","S1pr3"
"1378","Sphingosine 1-phosphate","S1pr4"
"1379","Sphingosine 1-phosphate","S1pr5"
"1380","Sphingosine 1-phosphate","Gpr12"
"1381","Sphingosine 1-phosphate","Gpr3"
"1382","Sphingosine 1-phosphate","Gpr63"
"1383","Sphingosine 1-phosphate","P2ry10"
"1384","Sphingosine 1-phosphate","Erbb2"
"1385","Sphingosine 1-phosphate","Egfr"
"1386","Sphingosine 1-phosphate","Cxcr1"
"1387","Sphingosine 1-phosphate","F2r"
"1388","Dopamine","Adrb2"
"1389","Dopamine","Drd2"
"1390","Dopamine","Htr7"
"1391","Dopamine","Drd4"
"1392","Dopamine","Taar1"
"1393","Dopamine","Mtnr1a"
"1394","Dopamine","Mtnr1b"
"1395","Dopamine","Drd1"
"1396","Dopamine","Drd3"
"1397","Dopamine","Drd5"
"1398","Dopamine","Htr1a"
"1399","Dopamine","Bdkrb1"
"1400","Dopamine","Oprd1"
"1401","Dopamine","Mc3r"
"1402","Dopamine","Ptger2"
"1403","Dopamine","Mchr1"
"1404","Dopamine","Galr3"
"1405","Dopamine","Sstr4"
"1406","Dopamine","Nmur2"
"1407","Dopamine","Hrh4"
"1408","Dopamine","Aplnr"
"1409","Dopamine","Oprk1"
"1410","Dopamine","Sstr1"
"1411","Dopamine","Ackr3"
"1412","Dopamine","Agtr1a"
"1413","Dopamine","Agtr1b"
"1414","Dopamine","Htr2c"
"1415","Dopamine","Adra2a"
"1416","Dopamine","Gria1"
"1417","Dopamine","Htr5a"
"1418","Dopamine","Htr6"
"1419","Dopamine","Ptgir"
"1420","Dopamine","Ccr2"
"1421","Dopamine","Ccr5"
"1422","Dopamine","Sstr5"
"1423","Dopamine","Cckar"
"1424","Dopamine","Ccr1"
"1425","Dopamine","Ccr1l1"
"1426","Dopamine","Galr1"
"1427","Dopamine","Mc4r"
"1428","Dopamine","Ptger4"
"1429","Dopamine","Ptgdr"
"1430","Dopamine","Cxcr6"
"1431","Dopamine","Adora2b"
"1432","Dopamine","Nmur1"
"1433","Dopamine","Adora1"
"1434","Dopamine","Mc5r"
"1435","Dopamine","Htr1f"
"1436","Dopamine","Rxfp3"
"1437","Dopamine","Galr2"
"1438","Dopamine","Npbwr1"
"1439","Dopamine","Ccr9"
"1440","Dopamine","Npy2r"
"1441","Dopamine","Ccr4"
"1442","Dopamine","Mc2r"
"1443","Dopamine","Cckbr"
"1444","Dopamine","Adora2a"
"1445","Dopamine","Oprl1"
"1446","Dopamine","Avpr2"
"1447","Dopamine","Npy5r"
"1448","Dopamine","Hrh3"
"1449","Dopamine","Adrb3"
"1450","Dopamine","Ptger3"
"1451","Dopamine","Sstr2"
"1452","Dopamine","Lpar1"
"1453","Dopamine","Npsr1"
"1454","Dopamine","Htr4"
"1455","Dopamine","Npy1r"
"1456","Dopamine","Rxfp4"
"1457","Dopamine","Adrb1"
"1458","Dopamine","Cnr1"
"1459","Dopamine","Htr1b"
"1460","Dopamine","Lpar3"
"1461","Dopamine","Agtr2"
"1462","Dopamine","Npy4r"
"1463","Dopamine","Cnr2"
"1464","Dopamine","Hrh2"
"1465","Dopamine","Htr2a"
"1466","Dopamine","Lpar2"
"1467","Dopamine","Adra2c"
"1468","Dopamine","Cxcr4"
"1469","Dopamine","Oprm1"
"1470","Dopamine","Ccr3"
"1471","Dopamine","Mc1r"
"1472","Dopamine","Htr3a"
"1473","Dopamine","Htr3b"
"1474","Phenylethylamine","Taar1"
"1475","Phenylethylamine","Mc3r"
"1476","Phenylethylamine","Ptger2"
"1477","Phenylethylamine","Htr6"
"1478","Phenylethylamine","Ptgir"
"1479","Phenylethylamine","Mc4r"
"1480","Phenylethylamine","Ptger4"
"1481","Phenylethylamine","Ptgdr"
"1482","Phenylethylamine","Adora2b"
"1483","Phenylethylamine","Adrb2"
"1484","Phenylethylamine","Drd5"
"1485","Phenylethylamine","Mc5r"
"1486","Phenylethylamine","Mc2r"
"1487","Phenylethylamine","Adora2a"
"1488","Phenylethylamine","Htr7"
"1489","Phenylethylamine","Avpr2"
"1490","Phenylethylamine","Adrb3"
"1491","Phenylethylamine","Npsr1"
"1492","Phenylethylamine","Htr4"
"1493","Phenylethylamine","Adrb1"
"1494","Phenylethylamine","Hrh2"
"1495","Phenylethylamine","Mc1r"
"1496","Phenylethylamine","Adra1a"
"1497","Phenylethylamine","Adra1d"
"1498","Phenylethylamine","Adra2a"
"1499","Phenylethylamine","Adra2c"
"1500","Serotonin","Htr1b"
"1501","Serotonin","Htr1d"
"1502","Serotonin","Mtnr1b"
"1503","Serotonin","Htr2b"
"1504","Serotonin","Htr1f"
"1505","Serotonin","Htr7"
"1506","Serotonin","Htr6"
"1507","Serotonin","Htr2c"
"1508","Serotonin","Drd2"
"1509","Serotonin","Mtnr1a"
"1510","Serotonin","Htr3a"
"1511","Serotonin","Htr1a"
"1512","Serotonin","Htr2a"
"1513","Serotonin","Htr4"
"1514","Serotonin","Htr5a"
"1515","Serotonin","Drd1"
"1516","Serotonin","Drd5"
"1517","Serotonin","Drd4"
"1518","Serotonin","Bdkrb1"
"1519","Serotonin","Prokr2"
"1520","Serotonin","Gnrhr"
"1521","Serotonin","Kiss1r"
"1522","Serotonin","Oprd1"
"1523","Serotonin","Ghsr"
"1524","Serotonin","Mc3r"
"1525","Serotonin","Ptger2"
"1526","Serotonin","Mchr1"
"1527","Serotonin","Galr3"
"1528","Serotonin","Sstr4"
"1529","Serotonin","Nmur2"
"1530","Serotonin","Hrh4"
"1531","Serotonin","Aplnr"
"1532","Serotonin","Nmbr"
"1533","Serotonin","Htr3b"
"1534","Serotonin","Oprk1"
"1535","Serotonin","Sstr1"
"1536","Serotonin","Gpr65"
"1537","Serotonin","Ackr3"
"1538","Serotonin","Agtr1a"
"1539","Serotonin","Agtr1b"
"1540","Serotonin","Taar1"
"1541","Serotonin","Npffr1"
"1542","Serotonin","Adra2a"
"1543","Serotonin","App"
"1544","Serotonin","Pparg"
"1545","Serotonin","Ptgir"
"1546","Serotonin","Ccr2"
"1547","Serotonin","Ccr5"
"1548","Serotonin","Ptger1"
"1549","Serotonin","Sstr5"
"1550","Serotonin","Cckar"
"1551","Serotonin","Ccr1"
"1552","Serotonin","Ccr1l1"
"1553","Serotonin","Avpr1a"
"1554","Serotonin","Galr1"
"1555","Serotonin","Mc4r"
"1556","Serotonin","Ptger4"
"1557","Serotonin","Ptgdr"
"1558","Serotonin","Ntsr2"
"1559","Serotonin","Prokr1"
"1560","Serotonin","Cxcr6"
"1561","Serotonin","Adora2b"
"1562","Serotonin","Adrb2"
"1563","Serotonin","Nmur1"
"1564","Serotonin","Adra1b"
"1565","Serotonin","Ltb4r1"
"1566","Serotonin","Npffr2"
"1567","Serotonin","Adora1"
"1568","Serotonin","Trhr"
"1569","Serotonin","Ednra"
"1570","Serotonin","Mc5r"
"1571","Serotonin","Uts2r"
"1572","Serotonin","Oxtr"
"1573","Serotonin","Rxfp3"
"1574","Serotonin","Galr2"
"1575","Serotonin","Npbwr1"
"1576","Serotonin","Ccr9"
"1577","Serotonin","Npy2r"
"1578","Serotonin","Ccr4"
"1579","Serotonin","Mc2r"
"1580","Serotonin","Cckbr"
"1581","Serotonin","Adora2a"
"1582","Serotonin","Oprl1"
"1583","Serotonin","Avpr2"
"1584","Serotonin","Npy5r"
"1585","Serotonin","Hrh3"
"1586","Serotonin","Adrb3"
"1587","Serotonin","Ptger3"
"1588","Serotonin","Sstr2"
"1589","Serotonin","Lpar1"
"1590","Serotonin","Npsr1"
"1591","Serotonin","Npy1r"
"1592","Serotonin","Rxfp4"
"1593","Serotonin","Adrb1"
"1594","Serotonin","Cnr1"
"1595","Serotonin","Ntsr1"
"1596","Serotonin","Lpar3"
"1597","Serotonin","Ptgfr"
"1598","Serotonin","Hcrtr2"
"1599","Serotonin","Agtr2"
"1600","Serotonin","Hcrtr1"
"1601","Serotonin","Npy4r"
"1602","Serotonin","Cnr2"
"1603","Serotonin","Ednrb"
"1604","Serotonin","Hrh2"
"1605","Serotonin","Adra1a"
"1606","Serotonin","Adra1d"
"1607","Serotonin","Grpr"
"1608","Serotonin","Drd3"
"1609","Serotonin","Qrfprl"
"1610","Serotonin","Qrfpr"
"1611","Serotonin","Lpar2"
"1612","Serotonin","Adra2c"
"1613","Serotonin","Cxcr4"
"1614","Serotonin","Tbxa2r"
"1615","Serotonin","Oprm1"
"1616","Serotonin","Ltb4r2"
"1617","Serotonin","Ccr3"
"1618","Serotonin","Mc1r"
"1619","Tryptamine","Htr1b"
"1620","Tryptamine","Htr1d"
"1621","Tryptamine","Htr7"
"1622","Tryptamine","Htr6"
"1623","Tryptamine","Htr1f"
"1624","Tryptamine","Htr2c"
"1625","Tryptamine","Htr2b"
"1626","Tryptamine","Taar1"
"1627","Tryptamine","Htr2a"
"1628","Tryptamine","Taar5"
"1629","Tryptamine","Taar6"
"1630","Tryptamine","Taar8c"
"1631","Tryptamine","Taar8b"
"1632","Tryptamine","Taar8a"
"1633","Tryptamine","Htr1a"
"1634","Tryptamine","Taar2"
"1635","Tyramine","Taar1"
"1636","Tyramine","Drd4"
"1637","Tyramine","Drd2"
"1638","Tyramine","Htr3a"
"1639","Tyramine","Taar5"
"1640","Tyramine","Taar6"
"1641","Tyramine","Taar8c"
"1642","Tyramine","Taar8b"
"1643","Tyramine","Taar8a"
"1644","Tyramine","Taar2"
"1645","Leukotriene E4","Cysltr1"
"1646","Leukotriene E4","Cysltr2"
"1647","Ureidopropionic acid","Uts2r"
"1648","Anandamide","Cnr1"
"1649","Anandamide","Pcdha4b"
"1650","Anandamide","Pcdha4"
"1651","Anandamide","Cnr2"
"1652","Anandamide","Pcdha6"
"1653","Anandamide","Trpv1"
"1654","Anandamide","Gpr55"
"1655","Anandamide","Bdkrb1"
"1656","Anandamide","Scarb1"
"1657","Anandamide","Trpv4"
"1658","Anandamide","Selp"
"1659","Anandamide","Scarb2"
"1660","Anandamide","Erbb2"
"1661","Anandamide","Egfr"
"1662","Anandamide","Cd36"
"1663","Anandamide","Htr3a"
"1664","Anandamide","Ppara"
"1665","Glycerol,Fumaric acid","M6pr"
"1666","Glycerol,Fumaric acid","Cd4"
"1667","Glycerol,Fumaric acid","Epha8"
"1668","Glycerol,Fumaric acid","Esr1"
"1669","Glycerol,Fumaric acid","Madcam1"
"1670","Glycerol,Fumaric acid","Tlr8"
"1671","Glycerol,Fumaric acid","Icam5"
"1672","Glycerol,Fumaric acid","Cd69"
"1673","Glycerol,Fumaric acid","H2-Oa"
"1674","Glycerol,Fumaric acid","Ghr"
"1675","Glycerol,Fumaric acid","Nr3c1"
"1676","Glycerol,Fumaric acid","Hrg"
"1677","Glycerol,Fumaric acid","Grin3b"
"1678","Glycerol,Fumaric acid","Klrk1"
"1679","Glycerol,Fumaric acid","Rara"
"1680","Glycerol,Fumaric acid","Pde6a"
"1681","Glycerol,Fumaric acid","Cd180"
"1682","Glycerol,Fumaric acid","Sort1"
"1683","Glycerol,Fumaric acid","Notch2"
"1684","Glycerol,Fumaric acid","Itgav"
"1685","Glycerol,Fumaric acid","Lrp6"
"1686","Glycerol,Fumaric acid","Trpv4"
"1687","Glycerol,Fumaric acid","Cdh1"
"1688","Glycerol,Fumaric acid","Itga2b"
"1689","Glycerol,Fumaric acid","Grik2"
"1690","Glycerol,Fumaric acid","Grik5"
"1691","Glycerol,Fumaric acid","Acvr1"
"1692","Glycerol,Fumaric acid","Selp"
"1693","Glycerol,Fumaric acid","Cdh15"
"1694","Glycerol,Fumaric acid","Cdh3"
"1695","Glycerol,Fumaric acid","Fcer2a"
"1696","Glycerol,Fumaric acid","Gria2"
"1697","Glycerol,Fumaric acid","Nrp1"
"1698","Glycerol,Fumaric acid","Nrxn2"
"1699","Glycerol,Fumaric acid","Itgb7"
"1700","Glycerol,Fumaric acid","Igf1r"
"1701","Glycerol,Fumaric acid","Ifnar1"
"1702","Glycerol,Fumaric acid","Fcgr3"
"1703","Glycerol,Fumaric acid","Fcgr2b"
"1704","Glycerol,Fumaric acid","Egfr"
"1705","Glycerol,Fumaric acid","Nlgn4l"
"1706","Glycerol,Fumaric acid","Ntrk2"
"1707","Glycerol,Fumaric acid","St14"
"1708","Glycerol,Fumaric acid","Epha4"
"1709","Glycerol,Fumaric acid","Flt1"
"1710","Glycerol,Fumaric acid","Gria4"
"1711","Glycerol,Fumaric acid","Itga1"
"1712","Glycerol,Fumaric acid","Cd8a"
"1713","Glycerol,Fumaric acid","App"
"1714","Glycerol,Fumaric acid","Gria1"
"1715","Glycerol,Fumaric acid","Ar"
"1716","Glycerol,Fumaric acid","Pparg"
"1717","Glycerol,Fumaric acid","Il10rb"
"1718","Glycerol,Fumaric acid","Mertk"
"1719","Glycerol,Fumaric acid","Ptprn"
"1720","Glycerol,Fumaric acid","Mst1r"
"1721","Glycerol,Fumaric acid","Tlr3"
"1722","Glycerol,Fumaric acid","Itgb2l"
"1723","Glycerol,Fumaric acid","Itgb2"
"1724","Glycerol,Fumaric acid","Insr"
"1725","Glycerol,Fumaric acid","Ctla4"
"1726","Glycerol,Fumaric acid","Il7r"
"1727","Glycerol,Fumaric acid","Itpr1"
"1728","Glycerol,Fumaric acid","Gp6"
"1729","Glycerol,Fumaric acid","Ppard"
"1730","Glycerol,Fumaric acid","Cd200r1l"
"1731","Glycerol,Fumaric acid","Cd200r2"
"1732","Glycerol,Fumaric acid","Cd200r1"
"1733","Glycerol,Fumaric acid","Cd200r3"
"1734","Glycerol,Fumaric acid","Cd200r4"
"1735","Glycerol,Fumaric acid","Cd55"
"1736","Glycerol,Fumaric acid","Cd55b"
"1737","Glycerol,Fumaric acid","Met"
"1738","Glycerol,Fumaric acid","F2r"
"1739","Glycerol,Fumaric acid","Adgrl2"
"1740","Glycerol,Fumaric acid","Pgr"
"1741","Glycerol,Fumaric acid","P4hb"
"1742","Glycerol,Fumaric acid","Ifnlr1"
"1743","Glycerol,Fumaric acid","Il3ra"
"1744","Glycerol,Fumaric acid","Cntn2"
"1745","Glycerol,Fumaric acid","Pde4b"
"1746","Glycerol,Fumaric acid","Grin2a"
"1747","Glycerol,Fumaric acid","Pdcd1"
"1748","Glycerol,Fumaric acid","Nr1i2"
"1749","Glycerol,Fumaric acid","Epha3"
"1750","Glycerol,Fumaric acid","Nrxn3"
"1751","Glycerol,Fumaric acid","Nisch"
"1752","Glycerol,Fumaric acid","Adgrl1"
"1753","Glycerol,Fumaric acid","Crhr2"
"1754","Glycerol,Fumaric acid","Nr3c2"
"1755","Glycerol,Fumaric acid","Nbr1"
"1756","Glycerol,Fumaric acid","Pglyrp2"
"1757","Glycerol,Fumaric acid","Pigr"
"1758","Glycerol,Fumaric acid","Itgal"
"1759","Glycerol,Fumaric acid","Igf2r"
"1760","Glycerol,Fumaric acid","Dchs2"
"1761","Glycerol,Fumaric acid","Tgfbr2"
"1762","Glycerol,Fumaric acid","Ryr1"
"1763","Glycerol,Fumaric acid","H2-Eb2"
"1764","Glycerol,Fumaric acid","H2-Eb1"
"1765","Glycerol,Fumaric acid","Tfrc"
"1766","Glycerol,Fumaric acid","Nr4a1"
"1767","Glycerol,Fumaric acid","Nrp2"
"1768","Glycerol,Fumaric acid","Dpp4"
"1769","Glycerol,Fumaric acid","Grin3a"
"1770","Glycerol,Fumaric acid","Plxna2"
"1771","Glycerol,Fumaric acid","Nr5a2"
"1772","Glycerol,Fumaric acid","Mr1"
"1773","Glycerol,Fumaric acid","Ackr1"
"1774","Glycerol,Fumaric acid","Cd1d2"
"1775","Glycerol,Fumaric acid","Cd1d1"
"1776","Glycerol,Fumaric acid","Plxna3"
"1777","Glycerol,Fumaric acid","Tpbg"
"1778","Glycerol,Fumaric acid","Adgrb3"
"1779","Glycerol,Fumaric acid","Pde6c"
"1780","Glycerol,Fumaric acid","Grin1"
"1781","Glycerol,Fumaric acid","Fap"
"1782","Glycerol,Fumaric acid","Fibcd1"
"1783","Glycerol,Fumaric acid","Itpr3"
"1784","Glycerol,Fumaric acid","H2-T5"
"1785","Glycerol,Fumaric acid","H2-D1"
"1786","Glycerol,Fumaric acid","H2-Q6"
"1787","Glycerol,Fumaric acid","H2-Q7"
"1788","Glycerol,Fumaric acid","H2-Q1"
"1789","Glycerol,Fumaric acid","H2-Q10"
"1790","Glycerol,Fumaric acid","H2-Q2"
"1791","Glycerol,Fumaric acid","H2-Q4"
"1792","Glycerol,Fumaric acid","H2-T13"
"1793","Glycerol,Fumaric acid","H2-K1"
"1794","Glycerol,Fumaric acid","H2-T7"
"1795","Glycerol,Fumaric acid","Unc13b"
"1796","Glycerol,Fumaric acid","Il15ra"
"1797","Glycerol,Fumaric acid","Itpr2"
"1798","Glycerol,Fumaric acid","Cd274"
"1799","Glycerol,Fumaric acid","Alk"
"1800","Glycerol,Fumaric acid","Ryr3"
"1801","Glycerol,Fumaric acid","Cul5"
"1802","Glycerol,Fumaric acid","Fat4"
"1803","Glycerol,Fumaric acid","Itga4"
"1804","Glycerol,Fumaric acid","Pdcd1lg2"
"1805","Glycerol,Fumaric acid","Cdh23"
"1806","Glycerol,Fumaric acid","Grik1"
"1807","Glycerol,Fumaric acid","Ncam2"
"1808","Glycerol,Fumaric acid","Nrxn1"
"1809","Glycerol,Fumaric acid","Esrrg"
"1810","Glycerol,Fumaric acid","Dcc"
"1811","Glycerol,Fumaric acid","H2-Ob"
"1812","Glycerol,Fumaric acid","Bcap31"
"1813","Glycerol,Fumaric acid","Fgfr1"
"1814","Glycerol,Fumaric acid","Cd44"
"1815","Glycerol,Fumaric acid","H2-T10"
"1816","Glycerol,Fumaric acid","H2-T22"
"1817","Glycerol,Fumaric acid","H2-M10.6"
"1818","Glycerol,Fumaric acid","H2-T5"
"1819","Glycerol,Fumaric acid","H2-M10.2"
"1820","Glycerol,Fumaric acid","H2-T9"
"1821","Glycerol,Fumaric acid","H2-D1"
"1822","Glycerol,Fumaric acid","H2-T3"
"1823","Glycerol,Fumaric acid","H2-Q6"
"1824","Glycerol,Fumaric acid","H2-M9"
"1825","Glycerol,Fumaric acid","H2-Q7"
"1826","Glycerol,Fumaric acid","H2-M10.4"
"1827","Glycerol,Fumaric acid","H2-M2"
"1828","Glycerol,Fumaric acid","H2-M1"
"1829","Glycerol,Fumaric acid","H2-M11"
"1830","Glycerol,Fumaric acid","H2-M10.3"
"1831","Glycerol,Fumaric acid","H2-Q1"
"1832","Glycerol,Fumaric acid","H2-M5"
"1833","Glycerol,Fumaric acid","H2-Q10"
"1834","Glycerol,Fumaric acid","H2-M10.1"
"1835","Glycerol,Fumaric acid","H2-Q2"
"1836","Glycerol,Fumaric acid","H2-Q4"
"1837","Glycerol,Fumaric acid","H2-M10.5"
"1838","Glycerol,Fumaric acid","H2-T13"
"1839","Glycerol,Fumaric acid","H2-K1"
"1840","Glycerol,Fumaric acid","Hfe"
"1841","Glycerol,Fumaric acid","Pde6b"
"1842","Glycerol,Fumaric acid","Adgrl3"
"1843","Glycerol,Fumaric acid","Rack1"
"1844","Glycerol,Fumaric acid","Igll1"
"1845","Glycerol,Fumaric acid","Ntrk1"
"1846","Glycerol,Fumaric acid","Pde10a"
"1847","Glycerol,Fumaric acid","Itgam"
"1848","Glycerol,Fumaric acid","Tnfrsf11a"
"1849","Cytidine monophosphate","Notch1"
"1850","Cytidine monophosphate","Enpp3"
"1851","Cytidine monophosphate","Enpp1"
"1852","Dodecanoic acid","Pparg"
"1853","Dodecanoic acid","Ffar1"
"1854","Dodecanoic acid","Tlr2"
"1855","Dodecanoic acid","Hnf4a"
"1856","Dodecanoic acid","Cd55"
"1857","Dodecanoic acid","Cd55b"
"1858","Dodecanoic acid","Tlr4"
"1859","Dodecanoic acid","Vldlr"
"1860","Dodecanoic acid","Ppara"
"1861","Pentadecanoic acid","Ffar1"
"1862","Pentadecanoic acid","Nr1i3"
"1863","Pentadecanoic acid","Rxra"
"1864","Myristic acid","Pparg"
"1865","Myristic acid","Ffar1"
"1866","Myristic acid","Ffar4"
"1867","Myristic acid","Hnf4a"
"1868","Myristic acid","Tlr4"
"1869","Myristic acid","Pvr"
"1870","Myristic acid","Ppara"
"1871","Farnesyl pyrophosphate","Lpar2"
"1872","Farnesyl pyrophosphate","Lpar3"
"1873","Farnesyl pyrophosphate","Lpar4"
"1874","Farnesyl pyrophosphate","Lpar5"
"1875","L-Fucose","Cd4"
"1876","L-Fucose","Il4ra"
"1877","L-Fucose","Tgfbr3"
"1878","L-Fucose","Il2rb"
"1879","L-Fucose","Fcgrt"
"1880","L-Fucose","Nectin2"
"1881","L-Fucose","Gabbr2"
"1882","L-Fucose","Thbs1"
"1883","L-Fucose","Lrp6"
"1884","L-Fucose","Lifr"
"1885","L-Fucose","Selp"
"1886","L-Fucose","Icam1"
"1887","L-Fucose","Npr3"
"1888","L-Fucose","Nrp1"
"1889","L-Fucose","Igf1r"
"1890","L-Fucose","Erbb2"
"1891","L-Fucose","Il22ra1"
"1892","L-Fucose","Fcgr3"
"1893","L-Fucose","Fcgr2b"
"1894","L-Fucose","Egfr"
"1895","L-Fucose","Notch1"
"1896","L-Fucose","Cxadr"
"1897","L-Fucose","Csf1r"
"1898","L-Fucose","Kit"
"1899","L-Fucose","Cd1d2"
"1900","L-Fucose","Cd1d1"
"1901","L-Fucose","Fcgr4"
"1902","L-Fucose","Fcgr4"
"1903","L-Fucose","Tlr3"
"1904","L-Fucose","Insr"
"1905","L-Fucose","Ctla4"
"1906","L-Fucose","Il7r"
"1907","L-Fucose","Folr1"
"1908","L-Fucose","Cd209c"
"1909","L-Fucose","Cd209a"
"1910","L-Fucose","Cd209d"
"1911","L-Fucose","Cd209e"
"1912","L-Fucose","Cd209b"
"1913","L-Fucose","Cd209a"
"1914","L-Fucose","Cd209b"
"1915","L-Fucose","Met"
"1916","L-Fucose","Il17ra"
"1917","L-Fucose","Adgrl2"
"1918","L-Fucose","Il3ra"
"1919","L-Fucose","Ptprm"
"1920","L-Fucose","Sele"
"1921","L-Fucose","Grin2a"
"1922","L-Fucose","Btla"
"1923","L-Fucose","F3"
"1924","L-Fucose","Il21r"
"1925","L-Fucose","Colec11"
"1926","L-Fucose","Plaur"
"1927","L-Fucose","H2-Aa"
"1928","L-Fucose","Cd59a"
"1929","L-Fucose","Cd59b"
"1930","L-Fucose","Adgrl1"
"1931","L-Fucose","Tnfrsf14"
"1932","L-Fucose","Fas"
"1933","L-Fucose","Jaml"
"1934","L-Fucose","Fcgr2b"
"1935","L-Fucose","Tfrc"
"1936","L-Fucose","Dpp4"
"1937","L-Fucose","Fzd5"
"1938","L-Fucose","Fcer1a"
"1939","L-Fucose","Fcgr1"
"1940","L-Fucose","Adgrb3"
"1941","L-Fucose","Tlr4"
"1942","L-Fucose","Il2rg"
"1943","L-Fucose","Fzd8"
"1944","L-Fucose","Gabbr1"
"1945","L-Fucose","Il2ra"
"1946","L-Fucose","H2-Ab1"
"1947","L-Fucose","Colec12"
"1948","L-Fucose","Csf2rb2"
"1949","L-Fucose","Csf2rb"
"1950","L-Fucose","Cd207"
"1951","L-Fucose","Pvr"
"1952","L-Fucose","Nectin3"
"1953","L-Fucose","Adgrl3"
"1954","L-Fucose","Igll1"
"1955","Ammonia","Tnfrsf17"
"1956","Ammonia","Esr1"
"1957","Ammonia","Fcgrt"
"1958","Ammonia","Traf2"
"1959","Ammonia","Lrp6"
"1960","Ammonia","Itga2b"
"1961","Ammonia","Itga1"
"1962","Ammonia","Pglyrp3"
"1963","Ammonia","Itga2"
"1964","Ammonia","Crhr2"
"1965","Ammonia","Esr2"
"1966","Ammonia","Tlr4"
"1967","Ammonia","Tgfbr1"
"1968","Ammonia","Trpv1"
"1969","Ammonia","Grik1"
"1970","Ammonia","Grik2"
"1971","Ammonia","Igll1"
"1972","gamma-Aminobutyric acid","Gabra1"
"1973","gamma-Aminobutyric acid","Gabra3"
"1974","gamma-Aminobutyric acid","Gabra5"
"1975","gamma-Aminobutyric acid","Gabra6"
"1976","gamma-Aminobutyric acid","Gabrr3"
"1977","gamma-Aminobutyric acid","Gabrr1"
"1978","gamma-Aminobutyric acid","Gabbr2"
"1979","gamma-Aminobutyric acid","Gabra4"
"1980","gamma-Aminobutyric acid","Gabrp"
"1981","gamma-Aminobutyric acid","Gabrb2"
"1982","gamma-Aminobutyric acid","Gabrg1"
"1983","gamma-Aminobutyric acid","Gabrb1"
"1984","gamma-Aminobutyric acid","Gabrb3"
"1985","gamma-Aminobutyric acid","Gpr156"
"1986","gamma-Aminobutyric acid","Gabrg3"
"1987","gamma-Aminobutyric acid","Gabra2"
"1988","gamma-Aminobutyric acid","Rxfp4"
"1989","gamma-Aminobutyric acid","Gabre"
"1990","gamma-Aminobutyric acid","Gabbr1"
"1991","gamma-Aminobutyric acid","Gabrd"
"1992","gamma-Aminobutyric acid","Itga4"
"1993","gamma-Aminobutyric acid","Gabrr2"
"1994","gamma-Aminobutyric acid","Gabrg2"
"1995","gamma-Aminobutyric acid","Chrna5"
"1996","gamma-Aminobutyric acid","Chrnb1"
"1997","D-Glucose","Asgr1"
"1998","D-Glucose","M6pr"
"1999","D-Glucose","Cd4"
"2000","D-Glucose","Rtn4r"
"2001","D-Glucose","Tgfbr3"
"2002","D-Glucose","Il2rb"
"2003","D-Glucose","Tlr8"
"2004","D-Glucose","Fcgrt"
"2005","D-Glucose","Icam5"
"2006","D-Glucose","Efnb3"
"2007","D-Glucose","Vtn"
"2008","D-Glucose","Clec4a4"
"2009","D-Glucose","Clec4a2"
"2010","D-Glucose","Clec4a3"
"2011","D-Glucose","Clec4a1"
"2012","D-Glucose","Hrg"
"2013","D-Glucose","Sell"
"2014","D-Glucose","Acvr2a"
"2015","D-Glucose","Efnb2"
"2016","D-Glucose","Nectin2"
"2017","D-Glucose","Ace2"
"2018","D-Glucose","Cd180"
"2019","D-Glucose","Il5ra"
"2020","D-Glucose","Sort1"
"2021","D-Glucose","Gabbr2"
"2022","D-Glucose","Enpp2"
"2023","D-Glucose","Chrna1"
